,Publication Year,First Author,Authors,Publication Title,Summary,Database,DOI,URL,Title,Abstract,Abstract2,Exclude,Reason ID
38,1992,"Clarkston, W.",Wk Clarkston,Postgraduate Medicine,"WK Clarkston - Postgraduate medicine, 1992 - Taylor & Francis",Google Scholar,10.1080/00325481.1992.11701481,https://www.tandfonline.com/doi/pdf/10.1080/00325481.1992.11701481,"Gastrointestinal Foreign Bodies: When To Remove Them, When To Watch And Wait","Preview Many Foreign Bodies Traverse The Gastrointestinal Tract Without Incident, But Others Require Immediate Endoscopic Or Surgical Removal. Which Types Of Objects Pose The Greatest ...","Many foreign bodies traverse the gastrointestinal tract without incident, but others require immediate endoscopic or surgical removal. Which types of objects pose the greatest risk, and how can they be safely removed? What is the appropriate way to handle sharp objects? Button batteries? Packets of cocaine? Dr Clarkston addresses these and other questions in this article.",,
39,1993,"Tomoo..., T.","T Ken, Y Sunichi, U Toshiro, T Tomoo...",Chinese Medical ...,"T Ken, Y Sunichi, U Toshiro, T Tomoo... - Chinese Medical ..., 1993 - mednexus.org",Google Scholar,10.5555/cmj.0366-6999.106.10.p788.01,https://mednexus.org/doi/abs/10.5555/cmj.0366-6999.106.10.p788.01,Endoscopic Removal Of Foreign Bodies In The Mentally And Physically Handicapped,"Although Foreign Bodies Of The Gastrointestinal Tract Are Common In Children, They Are Rare In The Adult. Complications Of The Foreign Bodies Are Well Recognized To Be A Cause Of ...","Although foreign bodies of the gastrointestinal tract are common in children, they are rare in the adult. Complications of the foreign bodies are well recognized to be a cause of obstruction, bleeding and perforation of the intestine, or furthermore, they sometimes lead to death unfortunately. On the other hand, it is very difficult to diagnose and treat foreign bodies in the handicapped because of disability of complaining the symptoms. This paper reports a 31-year-old severe handicapped man suffering from foreign bodies in the esophagus and the small intestine, and was successful removed by endoscope.",,
40,1993,"Towbin, R.","Rd Kaye, Rg Grifka, R Towbin",Radiologic Clinics Of North America,"RD Kaye, RG Grifka, R Towbin - Radiologic Clinics of North America, 1993 - Elsevier",Google Scholar,10.1016/S0033-8389(22)02614-8,https://www.sciencedirect.com/science/article/pii/s0033838922026148,Intervention In The Thorax In Children,"The Techniques And Tools Of Interventional Radiology Have Had A Significant Effect On The Management Of Adult Patients. The 1970S And 1980S Have Been A Period Of Active Development, ...","The techniques and tools of interventional ra-
diology have had a significant effect on the man-
agement of adult patients. The 1970s and 1980s
have been a period of active development,
growth, and acceptance of these techniques in
children."" The increasing number of skilled prac-
titioners involved in pediatric interventional radi-
ology have successfully applied the advances in
diagnostic and therapeutic interventional proce-
dures to the pediatric population. Diagnostic and
therapeutic procedures are now routinely per-
formed in pediatric patients in all areas of the
body."" Our goal is to present an overview of
interventional procedures in the thorax in chil-
dren. The indications for procedures, patient
preparation, sedation, monitoring, and equipment
selection and review of selected procedures are
discussed.",,
41,1994,"Lan, R.",Rs Lan,European Respiratory Journal,"RS Lan - European Respiratory Journal, 1994 - Eur Respiratory Soc",Google Scholar,10.1183/09031936.94.07030510 ,https://publications.ersnet.org/content/erj/7/3/510,Non-Asphyxiating Tracheobronchial Foreign Bodies In Adults,,"BSTRACT: The presentations of 47 adult patients with a non-asphyxiating tra-
cheobronchial foreign body were reviewed. The duration of residence of the for-
eign body was 1 week or less in nine (""acute group""); 1 month or more in 29
(""chronic group""), uncertain in four (""uncertain group""); and the foreign body was
a broncholith in five patients (""broncholith group""). In the chronic and uncertain
groups, no precipitating factor was found and bone was the most common foreign
body. In the chronic group, a choking history was obtained before bronchoscopy
in only 15 patient.
Clinical manifestations and roentgenograms were nonspecific in most cases, except
in the acute group. In the chronic group, the mean duration of residence of the
foreign body was 25.8 months. The diagnosis was delayed due to absence of a
choking history and invisibility of the foreign body on chest films in 12, due to
patient's ignorance in 14, due to physician's ignorance in 1, and due to previous
unsuccessful retrieval attempts in 2 patients.
The main indication for bronchoscopy in the acute group was a choking history
or a visible foreign body on the chest film. In the chronic group, a choking histo-
ry or conditions leading to ""suspicion of an endobronchial lesion"" were the main
indications. The foreign body was removed with a fibreoptic bronchoscope in over
90% of patients. It is concluded that the most important diagnostic factor is a high
clinical index of suspicion and that flexible fibreoptic bronchoscopy provides a valu-
able therapeutic option in selected conditions.",,
42,1994,"Scharman, E.","Scharman, E. J.; Lembersky, R.; Krenzelok, E. P.",American Journal Of Emergency Medicine,,PubMed,10.1016/0735-6757(94)90144-9,,Efficiency Of Whole Bowel Irrigation With And Without Metoclopramide Pretreatment,"Whole Bowel Irrigation (Wbi) With A Polyethylene Glycol Electrolyte Lavage Solution (Peg-Els) Is A Gastrointestinal (Gi) Decontamination Procedure Used  After Selected Ingestions Of Toxic Substances. The Purpose Of This Study Was To  Evaluate The Ability Of Wbi, With And Without Metoclopramide Pretreatment, To  Clear The Gi Tract Of Foreign Bodies Using Previously Established Wbi End Points,  Ie, The Presence Of A Clear Effluent Or The Administration Of 2 L/H Peg-Els For 5  Hours. Eleven Healthy, Adult, Male Volunteers Participated In This Controlled,  Two-Phase, Blinded, Crossover Study. Ten Fluorescent Coffee Beans Were Ingested  After An Overnight Fast Followed 1 Hour Later By 10 Mg Of Metoclopramide Syrup Or  An Equivalent Volume Of Placebo; 30 Minutes Later, Wbi With Peg-Els Was Begun At  2 L/H. All Volunteers Received 10 L Of Peg-Els During A 5-Hour Period. No  Statistically Significant Difference (P > .05) Was Found Between The Two  Pretreatments. For The Metoclopramide Group, The Mean Number Of Beans Passed Was  Equal To 3.8 (+/- 2.5 Standard Deviation [Sd]; 1 To 8 R); The Mean Number At  Clear Effluent Was Equal To 2.3. For The Placebo Group, The Mean Number Of Beans  Passed Was Equal To 3.5 (+/- 1.9 Sd; 2 To 7 R), And The Mean Number At Clear  Effluent Was Equal To 2.3. In Conclusion, The Presence Of A Clear Effluent Or The  Administration Of 10 L Of Peg-Els Are Not Valid Markers For The Termination Of  Wbi If Complete Elimination Of A Foreign Body Is Required. Pretreatment With 10  Mg Of Oral Metoclopramide Does Not Enhance The Efficiency Of Wbi.",,,
43,1995,"Mäurer..., J.","J Hierholzer, M Cordes, H Tantow, U Keske, J Mäurer...",Abdominal ...,"J Hierholzer, M Cordes, H Tantow, U Keske, J Mäurer... - Abdominal ..., 1995 - Springer",Google Scholar,10.1007/BF00203366,https://link.springer.com/article/10.1007/bf00203366,Drug Smuggling By Ingested Cocaine-Filled Packages: Conventional X-Ray And Ultrasound,Purpose To Evaluate The Imaging Characteristics And The Diagnostic Value Of Both Abdominal Ultrasound And Conventional Abdominal X-Ray In Identifying Ingested Drug Packages In “...,To evaluate the imaging characteristics and the diagnostic value of both abdominal ultrasound and conventional abdominal x-ray in identifying ingested drug packages in body packers.,,
44,1996,"Sekouba, B.",B Sekouba,,B Sekouba - 1996 - 34.250.91.188,Google Scholar,,http://34.250.91.188:8080/xmlui/handle/123456789/209,Studies On The Cellular And Humoral Immune Responses Of The Tropical Bont Tick Amblyomma Varibgatum And The Brown Ear Tick Rhipicephalus Appendiculatus Against ...,"Amblyomma Variegatum And Rhipicephalus Appendiculatus Are Pests Of Domestic And To A Certain Extend Wild Animals. While Feeding They Transmit Important Diseases, Among Which ...","Amblyomma variegatum and Rhipicephalus appendiculatus are pests of domestic and to a certain extend wild animals. While feeding they transmit important diseases, among which are cowdriosis and East coast fever. It is generally known that pathogens after being ingested with the blood by the tick, move through the gut and reach the salivary gland where they are injected in a host with the saliva of the tick during feeding. Hardly anything is known on tick immune system. The goal of this work was to study the immune system of both A. variegatum and R. appendiculatus. Five types of haemocytes were found in both tick species. They were plasmatocytes, granulocytes, spherular cells, prohaemocytes and oenocytoids. There was no significant difference between total haemocyte count in adults and nymphs of A. variegatum and adults of R. appendiculatus. However total haemocyte count in infected ticks were significantly (P<0.05 ) higher than non-infected ones. Differential haemocyte count in non-infected showed a significant predominance of spherules and granular cells. The same trend was observed in ticks infected with bacteria. Tick haemocytes reacted to the presence of foreign bodies like bacteria, fungi and parasitoids by forming nodules or granulomma. All the ticks injected with Metarhizium anisopliae and Beauveria bassiana died within 5 to 10 days. None of the infected engorged females layed eggs. None of the engorged nymphs molted. Encapsulation was demonstrated using araldite as implant. Lysozyme activity was induced by injecting bacteria. Bacillus thuringiensis was observed to have induced more lysozyme activity than other bacteria. The tick parasitoid Ixodiphagus hookeri laid eggs in all the stages of both A. variegatum and R. appendiculatus but completed its development in the nymph of A. variegatum despite the cellular and humoral reactions of the host. The parasitoid goes through 3 larval stages, pupates, molt and emerges generally through one hole after 4 to 6 weeks post-infestation, leaving a dried empty cuticle.",,
45,1996,"Rider, G.","Rider, G.; Wilson, C. L.",Risk Analysis : An Official Publication Of The Society For Risk Analysis,,PubMed,10.1111/j.1539-6924.1996.tb01466.x,,"Small Parts Aspiration, Ingestion, And Choking In Small Children: Findings Of The Small Parts Research Project","Obtaining Information On Current Child Injury Trends And Their Associated Issues Is An Important Factor In Developing Products That Meet Or Surpass Acceptable Toy  Safety Boundaries. Understanding These Boundaries Helps Determine Safe Product  Design Characteristics That Reduce The Risk Of Product-Related Injury. Inchcape  Testing Services Developed A Small Parts Aspiration, Ingestion, And Choking  Hazards Research Project, Independent Of An Ongoing Consumer Product Safety  Commission (Cpsc) Project. The Project'S Purpose Was To Determine, Independent Of  Cpsc, Whether A More Stringent Small Parts Regulatory Standard Was Necessary And,  If So, To Ensure That The Standard Was Determined Objectively. This Article  Reports On The Project'S Findings Relating To Critical Characteristics (Size,  Shape, And Consistency) Relative To The Victim'S Age, Of Objects Responsible For  Child Choking Injuries And Fatalities.",,,
46,1996,"O'Sullivan, S.","O'Sullivan, S. T.; Reardon, C. M.; Mcgreal, G. T.; Hehir, D. J.; Kirwan, W. O.; Brady, M. P.",Irish Journal Of Medical Science,,PubMed,10.1007/bf02943095,,Deliberate Ingestion Of Foreign Bodies By Institutionalised Psychiatric Hospital Patients And Prison Inmates,"Deliberate And Recurrent Foreign Body Ingestion Is A Common Problem Among Institutionalised Patients. We Review Our Experience With 36 Cases Of Deliberate  Foreign Body Ingestion By Prisoners Or Psychiatric Patients, Thirty Of Whom Were  Institutionalised At The Time Of Ingestion. Symptoms Were Frequently Severe In  The Prison Inmate Group But, In Contrast, Psychiatric Patients Presented With  Few, If Any, Symptoms. A Majority Of Objects Pass Spontaneously Or Remain In Situ  Without Complication. Twenty-Four Patients Were Discharged Following Initial  Evaluation And Without Specific Treatment. Eight Of These Were Reviewed  Electively And Discharged Within One Week. Twelve Patients Were Admitted For  Observation, Seven Of Whom Were Discharged Within 48 Hrs. Upper Gastrointestinal  Endoscopy Was Performed In Four Patients And An Intragastric Foreign Body  Identified In Two Cases. Laparotomy Was Performed In Two Cases For Unresolving  Mechanical Intestinal Obstruction. Management Should Be Conservative When  Possible, With Surgery Indicated Only For Complications.",,,
47,1996,"Loughlin, M.","Ma Lefton-Greif, Gm Loughlin",Seminars In Speech And ...,"MA Lefton-Greif, GM Loughlin - Seminars in Speech and ..., 1996 - thieme-connect.com",Google Scholar,10.1055/s-2008-1064106,https://www.thieme-connect.com/products/ejournals/html/10.1055/s-2008-1064106,Specialized Studies In Pediatric Dysphagia,The Evaluation And Management Of The Pediatric Patient With A Feeding And Swallowing Disorder May Require The Use Of Specialized Studies To Evaluate Specific Aspects Of Swallowing ...,"The evaluation and management of the pediatric patient with a feeding and swallowing disorder may require the use of specialized studies to evaluate specific aspects of swallowing function; to judge the consequences of the swallowing dysfunction; and to assess factors that may be contributing to swallowing dysfunction. Instrumental assessment of swallowing function may include upper gastrointestinal studies, videofluoroscopy or videofluoroscopic swallow studies, ultrasonography, radionuctide imaging, fiberoptic endoscopy of swallowing, and cervical auscultation. Procedures that assess the consequences and/or identify factors contributing to swallowing dysfunction may include pulse oximetry, chest x-rays, laryngoscopy and/or bronchoscopy, and pulmonary function tests. The use of such specialized procedures to evaluate children with dysphagia is the focus of this article.",,
