id,Publication Year,First Author,Authors,Publication Title,Summary,Database,DOI,URL,Title,Abstract,Abstract2,Exclude_JGE,Reason_ID_JGE,Exclude_MS,Reason_ID_MS,Exclude_GC,Reason_ID_GC,Review_GC,Comments_GC,Exclude_FINAL,Reason_ID_FINAL
58,1998,"Messner, A.",Ah Messner,Clinical Pediatrics,"AH Messner - Clinical pediatrics, 1998 - journals.sagepub.com",Google Scholar,10.1177/00099228980370060,https://journals.sagepub.com/doi/abs/10.1177/000992289803700605,Pitfalls In The Diagnosis Of Aerodigestive Tract Foreign Bodies,"In The Young Child, Particularly Those Between The Ages Of 1 And 3 Years, Aerodigestive Tract Foreign Bodies Continue To Be A Significant Problem. Early Diagnosis And Treatment Can ...","In the young child, particularly those between the ages of 1 and 3 years, aerodigestive tract foreign bodies continue to be a significant problem. Early diagnosis and treatment can decrease morbidity and length of hospital stay in these children. Three cases of delayed diagnosis in children with bronchial (2) and esophageal (1) foreign bodies are presented. In dealing with young children it is important to maintain a high clinical suspicion of a foreign body and to perform a detailed history and physical examination. Options in radiographic analysis of the patient with a suspected foreign body, probable locations of the foreign body, and the likelihood of definitive radiographic findings are discussed. Importantly, a negative radiographic analysis does not rule out the presence of an aerodigestive tract foreign body. Two flow charts for the evaluation of patients who have possibly ingested or inhaled a foreign body are presented to aid the primary care physician in diagnosis.",False,,,,,,,,False,
59,1998,"Mahadevan..., N.","Nha Kasim, Bjj Abdullah, J Mahadevan...",Annals Of Dentistry ...,"NHA Kasim, BJJ Abdullah, J Mahadevan... - Annals of Dentistry ..., 1998 - mojes.um.edu.my",Google Scholar,,https://mojes.um.edu.my/index.php/adum/article/view/7078,The Radiopacity Of Dental Prostheses (Fixed And Removable) On Plain Radiographs-An Experimental Study,The Impaction Of Dental Prostheses In Either The Airway Or Esophagus Is An Under-Recognized Problem Which May Result In Severe Morbidity Or Even Mortality. The Radio-Opacity And The ...,"The impaction of dental prostheses in either the airway or esophagus is an under-recognized problem which may result in severe morbidity or even mortality. The radio-opacity and the size of fixed and removable dental prostheses in an animal carcass was investigated. Prostheses were placed one at a time in the oro-laryngopharynx or in tho trachea and the esophagus. Lateral radiographs were taken for each prosthesis in site. The radio-opacity and size of the prostheses on the radiograph was graded. Most of the prostheses investigated were radio-opaque though the removable prostheses were more likely to be radiolucent and differ in size. In a symptomatic patient with a missing dental prosthesis, a negative chest or abdominal radiograph does not exclude impaction, inhalation or ingestion. Further evaluation with endoscopy or even computed tomography may be essential to reduce the possibility of severe morbidity or even mortality.",False,,,,,,,,False,
60,1998,"Goldman, R.","Goldman, R. D.; Schachter, P.; Katz, M.; Bilik, R.; Avigad, I.",Pediatric Surgery International,,PubMed,10.1007/s003830050492,,A Bizarre Bezoar: Case Report And Review Of The Literature,"A Bizarre Case Of A Foreign-Body Bezoar Is Presented. A 16-Year-Old Girl Swallowed Large Amounts Of Toilet Paper As A Means Of Dieting. She Presented With  A Palpable Abdominal Mass, Multiple Bezoars In The Bowel, And Paper Excretion In  The Feces Before Admitting Intentional Ingestion Of Toilet-Paper Balls.  Administration Of Gastrografin Via A Nasogastric Tube And Enemas Resulted In  Gradual Excretion Of The Paper Balls.",,False,,,,,,,,False,
61,1998,"Csaky, G.","Csaky, G; Szederkenyi, I; Botos, A; Kiss, I",Surgical Laparoscopy & Endoscopy,,Web of Science,10.1097/00019509-199802000-00016,,Laparoscopic Removal Of A Foreign Body From The Jejunum,"Swallowed Foreign Bodies Evacuate Spontaneously; Therefore, Their Removal Is Necessary Only If A Complication Is Under Suspicion Or Has Ensued, A Man Of 22 Years Swallowed, With Suicidal Intentions, The 9-Cm-Long And 1.5-Cm-Wide Blade Of His Pocket Knife, Which According To Repeated X-Ray Investigations, Was Impacted Partly Through The Pylorus Into The Duodenum. Because Of The Symptoms, Perforation Could Nor Be Excluded, So Laparoscopic Removal Was Decided On. The Blade Meanwhile Passed Into The Jejunum And Was Localized Intraoperatively With A C-Arm Fluoroscope. After Jejunotomy And Removal Of The Blade, The Opening Of The Small Bowel Was Closed With Intracorporeal Hand-Suturing Technique. Postoperative Recovery Was Quick And Uneventful. On The Evidence Of The Case History Presented, The Laparoscopic Removal Of A Foreign Body From The Gastrointestinal Tract Can Be Judged A Convenient Procedure.",,False,,,,,,,,False,
64,1999,"Calkins, C.","Calkins, C. M.; Christians, K. K.; Sell, L. L.",Journal Of Pediatric Surgery,,PubMed,10.1016/s0022-3468(99)90488-8,,Cost Analysis In The Management Of Esophageal Coins: Endoscopy Versus Bougienage,"Purpose: The Aim Of This Study Was To Compare The Safety, Efficiency, And Overall Cost Effectiveness Of Esophageal Bougienage Versus Endoscopy In The Retrieval Of  Ingested Coins. Methods: Retrospective Review Of Patients Treated For Esophageal  Coin Ingestion At Children'S Hospital Of Wisconsin Over A 1-Year Period Using  Bougienage Or Endoscopic Retrieval Was Conducted. (Inclusion Criterion) Results:  Twenty-Seven Patients Were Evaluated Over The 1-Year Study Period. Two Patients  Spontaneously Passed The Coins Before Arrival And Needed No Further Treatment.  Twelve Patients Met Criteria For Bougienage, And This Treatment Was Successful In  10 Of The 12 Patients. Mean Length Of Hospital Stay Was 2.15 Hours, And The Mean  Cost Was $546. Thirteen Patients Were Treated Successfully With Endoscopy. The  Mean Length Of Hospital Stay Was 22.7 Hours, And The Mean Cost Was $5,230. There  Were No Complications In Any Of The 25 Patients. Conclusions: Bougienage Is  Equally Safe, More Efficient, And Much Less Expensive Than Endoscopy For  Treatment Of Esophageal Coins In Properly Selected Patients. Nearly Half Of The  Patients Were Excluded From Bougienage Because Of Delayed Presentation Alone.  Education Of Parents And Physicians Regarding Symptoms Of Coin Ingestion Would  Allow Primary Treatment With Bougienage In The Majority Of Cases.",,False,,,,,,,,False,
65,1999,"Cheng, W.","Cheng, W.; Tam, P. K.",Journal Of Pediatric Surgery,,PubMed,10.1016/s0022-3468(99)90106-9,,"Foreign-Body Ingestion In Children: Experience With 1,265 Cases","Background/Purpose: This Study Aims To Elucidate The Clinical Presentation, The Effectiveness Of Investigations, And Treatment Of Foreign Body Ingestion In  Children And To Formulate An Algorithm Of Management. Methods: The Records Of  Children Admitted To A Single Institution Who Had A History Of Foreign Body  Ingestion Over 33 Years Were Reviewed. Symptoms, Radiological Findings, And  Endoscopic Findings Were Assessed. Results: Foreign Bodies Were Detected In 552  (43%) Of The 1,265 Children Admitted. The Age Of The Children Ranged From 6  Months To 16 Years (Mean, 5.2 Years). The Preschool Toddlers (Mean Age, 3.8  Years) Were Most Prone To Ingest Inanimate Objects. The Most Common Objects Were  Coins (49%) And Nonmetallic Sharp Objects (Nmso; 31%). Although X-Rays Could  Detect All The Metallic Objects And 86% Of Glass Objects, The Sensitivity Of Fish  Bone Detection Is Only 26%. Absence Of Symptoms Was Common (50% In Metallic Group  And 29% In Nmso Group). Forty-One Percent Of Coins And 95% Of Nmso Were Lodged At  Sites Suitable For Removal By Direct Laryngoscopy Alone With Success Rates Of 86%  And 77%, Respectively. There Were 3 Disease-Related Complications And 1  Mortality. Two Of These Children Were Mentally Retarded And Presented Late.  Conclusions: Efforts For Prevention Of Ingestion Of Inanimate Foreign Body Should  Focus On The Preschool Toddler Group. Particular Attention Should Be Paid To  Mentally Retarded Children With Vague Gastrointestinal Symptoms. Absence Of  Symptoms Does Not Preclude Presence Of Foreign Body In Children. Children With  History Of Nmso Ingestion Should Undergo Direct Laryngoscopy Despite Negative  Radiological Finding, Both As A Screening Procedure Or Treatment.",,False,,,,,,,,False,
66,1999,"Kuo, J.","Kuo, J. Y.; Mo, L. R.; Tsai, C. C.; Chou, C. Y.; Lin, R. C.; Chang, K. K.",Endoscopy,,PubMed,10.1055/s-1999-24,,Nonoperative Treatment Of Gastric Bezoars Using Electrohydraulic Lithotripsy,"Background And Study Aims: Bezoars Are Collections Of Indigestible Foreign Material That Are Found Within The Gastrointestinal Tract. Nonoperative  Approaches Such As Dietary Therapy, Enzymatic Dissolution, And Endoscopic Removal  Have Been Regarded As The Mainstays Of Therapy. The Purpose Of This Paper Is To  Determine The Efficacy Of Electrohydraulic Lithotripsy (Ehl) As An Alternative  Form Of Treatment Of Gastric Bezoars. Patients And Methods: Between July 1988 And  May 1996, 11 Patients With Large Gastric Bezoars, Defined As Those Greater Than 5  Cm In Diameter, Received Endoscopic-Guided Fragmentation Using Electrohydraulic  Lithotripsy. Nine Of Our Patients Had A History Of Ingestion Of ""Pho Pu Zi"",  (Cordia Dichotoma Frost. F.), One Of Orange Pitch, And One Of Ingestion Of  Persimmon. Results: The 11 Patients In The Study Underwent Ehl For The Treatment  Of Their Gastric Bezoars, With A 100% Success Rate, Which Was Defined As The Lack  Of Residual Bezoar Seen On Post-Procedure Barium Study Or Endoscopy Done 2 Days  After The Procedure. Patients Were Followed-Up Clinically For 30-68 Months, With  Seven Of The 11 Patients Undergoing A Barium Study With No Residual Bezoar Noted.  No Procedure-Related Complications Were Seen, Except For Pharyngeal Pain Which  Was Most Probably Secondary To The Placement Of The Silicon Overtube.  Conclusions: Endoscopically Guided Electrohydraulic Lithotripsy Is A Safe, Highly  Effective, Alternative Nonsurgical Technique For The Treatment Of Gastric  Bezoars.",,False,,,,,,,,False,
71,2001,"Robins, B.","Robins, B.; Das, A. K.",Anesthesia And Analgesia,,PubMed,10.1097/00000539-200110000-00020,,Anesthetic Management Of Acquired Tracheoesophageal Fistula: A Brief Report,"Tracheoesophageal Fistula May Be Either A Congenital Lesion Or An Acquired Condition, Most Often Resulting From Foreign Body Ingestion. Location Of The  Lesion Has Implications For Anesthetic Management And Single Lung Ventilation May  Be Required To Facilitate Surgical Repair. In Pediatric Patients, Intentional  Mainstem Intubation May Be Required.",,False,,,,,,,,False,
73,2002,"Moshfeghi, D.","Moshfeghi, Darius M.; Wilson, Matthew W.; Martin, Terry L.; Haik, Barrett G.",Ophthalmic Plastic And Reconstructive Surgery,,PubMed,10.1097/00002341-200205000-00011,,Swallowed Ocular Prostheses: Report Of Three Cases In Children With Retinoblastoma,Q1211,,False,,True,3.0,False,,Unclear,No abstract - would need to see full paper,False,
77,2003,"Janik, J.","Janik, Je; Janik, Js",Journal Of Pediatric Surgery,,Web of Science,10.1053/jpsu.2003.50049,,Magill Forceps Extraction Of Upper Esophageal Coins,"Background/Purpose: This Study Demonstrates A Minimally Invasive Technique For Upper Esophageal Coin Extraction. Methods: A Retrospective Review Was Conducted Of 36 Children Who Had Upper Esophageal Coins Extracted Using A Magill Forceps. Results: All Coins Were Removed Without Complication In Approximately 45 Seconds (33 On The First Attempt, 3 On The Second Attempt). Onclusions: This Technique Minimizes Instrumentation Of The Esophagus And Is Highly Successful At Removing Coins Lodged At Or Immediately Below The Level Of The Cricipharyngeus Muscle. Copyright 2003, Elsevier Science (Usa). All Rights Reserved.",,False,,True,3.0,False,,Unclear,Could well include intentional coin ingestion,False,
